ITERATION,PRODUCT,CLIENT,SCHEMA NAME
1,PT360,ABBVIE,c3_pt360_202503_nsclc
1,PT360,ABBVIE,c3_pt360_202503_crc
1,PT360,ABBVIE,c3_pt360_202503_gec
1,PT360,ABBVIE,c3_pt360_202503_sclc
1,PT360,ABBVIE,c3_pt360_202503_hcc
1,RWD360,AMGEN,c3_rwd360_202503_amgen
1,RWD360 LINKED OPEN CLAIMS,AMGEN,c3_rwd360_open_202503_amgen
1,PT360,AMGEN,c3_pt360_202503_sclc
1,PT360,AMGEN,c3_pt360_202503_prostate
1,PT360,ASCLEPIUS ANALYTICS OBO NOVARTIS,c3_pt360_202503_prostate
1,RWD360,BMS,c3_rwd360_202503_bms
1,RWD360 LINKED OPEN CLAIMS,BMS,c3_rwd360_open_202503_bms
1,PT360,BMS,c3_pt360_202503_breast
1,PT360,BMS,c3_pt360_202503_nsclc
1,PT360,BMS,c3_pt360_202503_melanoma
1,RWD360,DSI,c3_rwd360_202503_dsi
1,PT360,DSI,c3_pt360_202503_breast
1,PT360,DSI,c3_pt360_202503_nsclc
1,PT360,DSI,c3_pt360_202503_sclc
1,PT360,DSI,c3_pt360_202503_prostate
1,PT360,ERACE EMORY,c3_pt360_202503_nsclc
1,PT360,ERACE EMORY,c3_pt360_202503_breast
1,RWD360,JJIM,c3_rwd360_202503_jnj
1,PT360,NOVARTIS,c3_pt360_202503_prostate
1,CUSTOM REGISTRY - KISQALI,NOVARTIS,c3_nov06029_202503_breast 
1,PT360,TAIHO,c3_pt360_202503_crc
1,PT360 LINKED OPEN CLAIMS,ABBVIE,c3_pt360_open_202503_nsclc
1,PT360 LINKED OPEN CLAIMS,ABBVIE,c3_pt360_open_202503_crc
1,PT360 LINKED OPEN CLAIMS,ABBVIE,c3_pt360_open_202503_gec
1,PT360 LINKED OPEN CLAIMS,ABBVIE,c3_pt360_open_202503_sclc
1,PT360 LINKED OPEN CLAIMS,ABBVIE,c3_pt360_open_202503_hcc
1,PT360 LINKED OPEN CLAIMS,AMGEN,c3_pt360_open_202503_sclc
1,PT360 LINKED OPEN CLAIMS,AMGEN,c3_pt360_open_202503_prostate
1,PT360 LINKED OPEN CLAIMS,ASCLEPIUS ANALYTICS OBO NOVARTIS,c3_pt360_open_202503_prostate
1,PT360 LINKED OPEN CLAIMS,BMS,c3_pt360_open_202503_breast
1,PT360 LINKED OPEN CLAIMS,BMS,c3_pt360_open_202503_nsclc
1,PT360 LINKED OPEN CLAIMS,BMS,c3_pt360_open_202503_melanoma
1,PT360 LINKED OPEN CLAIMS,DSI,c3_pt360_open_202503_breast
1,PT360 LINKED OPEN CLAIMS,DSI,c3_pt360_open_202503_nsclc
1,PT360 LINKED OPEN CLAIMS,DSI,c3_pt360_open_202503_sclc
1,PT360 LINKED OPEN CLAIMS,DSI,c3_pt360_open_202503_prostate
1,PT360 LINKED OPEN CLAIMS,ERACE EMORY,c3_pt360_open_202503_nsclc
1,PT360 LINKED OPEN CLAIMS,ERACE EMORY,c3_pt360_open_202503_breast
1,PT360 LINKED OPEN CLAIMS,NOVARTIS,c3_pt360_open_202503_prostate
1,PT360 LINKED OPEN CLAIMS,TAIHO,c3_pt360_open_202503_crc
1,RWD360 Analytical Layer,AMGEN,c3_rwd360_analytical_layer_202505_amgen
